reference_number,id,authors,title,journal,year,volume,issue,pages,doi,pmid,url,claim,verification_status,vancouver
1,source2026,"Onishi T, Ikenoue T",Association between intravenous flurbiprofen axetil pre-administration and attenuation of protamine-induced hypotension in cardiovascular surgery: a retrospective cohort study,J Jpn Soc Clin Anesth,2026,46,5,413-427,,,,"Hypothesis-generating retrospective signal; local source is author manuscript, not independently verified publisher PDF",Bibliographic citation supplied by author; numeric content verified against supplied manuscript,"Onishi T, Ikenoue T. Association between intravenous flurbiprofen axetil pre-administration and attenuation of protamine-induced hypotension in cardiovascular surgery: a retrospective cohort study. J Jpn Soc Clin Anesth. 2026;46(5):413-427."
2,boer2018,"Boer C, Meesters M, Veerhoek D, Vonk A",Anticoagulant and side-effects of protamine in cardiac surgery: a narrative review,British Journal of Anaesthesia,2018,120,5,914-927,10.1016/j.bja.2018.01.023,,https://doi.org/10.1016/j.bja.2018.01.023,"Protamine pharmacology, anticoagulant effects, dosing, and adverse reactions",Metadata retrieved from Crossref DOI record,"Boer C, Meesters M, Veerhoek D, Vonk A. Anticoagulant and side-effects of protamine in cardiac surgery: a narrative review. British Journal of Anaesthesia. 2018;120(5):914-927. doi:10.1016/j.bja.2018.01.023."
3,weiler1990,"Weiler JM, Gellhaus MA, Carter JG, Meng RL, Benson PM, Hottel RA, Schillig KB, Vegh AB, Clarke WR",A prospective study of the risk of an immediate adverse reaction to protamine sulfate during cardiopulmonary bypass surgery,Journal of Allergy and Clinical Immunology,1990,85,4,713-719,10.1016/0091-6749(90)90189-b,,https://doi.org/10.1016/0091-6749(90)90189-b,Prospective incidence and risk factors for immediate protamine reactions,Metadata retrieved from Crossref DOI record,"Weiler JM, Gellhaus MA, Carter JG, Meng RL, Benson PM, Hottel RA, et al. A prospective study of the risk of an immediate adverse reaction to protamine sulfate during cardiopulmonary bypass surgery. Journal of Allergy and Clinical Immunology. 1990;85(4):713-719. doi:10.1016/0091-6749(90)90189-b."
4,kimmel1998events,"Kimmel SE, Sekeres MA, Berlin JA, Goldberg LR, Strom BL",Adverse Events after Protamine Administration in Patients Undergoing Cardiopulmonary Bypass: Risks and Predictors of Under-Reporting,Journal of Clinical Epidemiology,1998,51,1,1-10,10.1016/s0895-4356(97)00241-2,,https://doi.org/10.1016/s0895-4356(97)00241-2,12.9% rate of adverse events after protamine and under-reporting,Metadata retrieved from Crossref DOI record,"Kimmel SE, Sekeres MA, Berlin JA, Goldberg LR, Strom BL. Adverse Events after Protamine Administration in Patients Undergoing Cardiopulmonary Bypass: Risks and Predictors of Under-Reporting. Journal of Clinical Epidemiology. 1998;51(1):1-10. doi:10.1016/s0895-4356(97)00241-2."
5,welsby2005,"Welsby IJ, Newman MF, Phillips-Bute B, Messier RH, Kakkis ED, Stafford-Smith M",Hemodynamic Changes after Protamine Administration,Anesthesiology,2005,102,2,308-314,10.1097/00000542-200502000-00011,,https://doi.org/10.1097/00000542-200502000-00011,Dose-duration protamine haemodynamic perturbations and mortality association,Metadata retrieved from Crossref DOI record,"Welsby IJ, Newman MF, Phillips-Bute B, Messier RH, Kakkis ED, Stafford-Smith M. Hemodynamic Changes after Protamine Administration. Anesthesiology. 2005;102(2):308-314. doi:10.1097/00000542-200502000-00011."
6,kimmel1998risk,"Kimmel SE, Sekeres MA, Berlin JA, Ellison N, DiSesa VJ, Strom BL",Risk factors for clinically important adverse events after protamine administration following cardiopulmonary bypass,Journal of the American College of Cardiology,1998,32,7,1916-1922,10.1016/s0735-1097(98)00484-7,,https://doi.org/10.1016/s0735-1097(98)00484-7,NPH insulin and allergy risk factors for clinically important protamine events,Metadata retrieved from Crossref DOI record,"Kimmel SE, Sekeres MA, Berlin JA, Ellison N, DiSesa VJ, Strom BL. Risk factors for clinically important adverse events after protamine administration following cardiopulmonary bypass. Journal of the American College of Cardiology. 1998;32(7):1916-1922. doi:10.1016/s0735-1097(98)00484-7."
7,weiss1989,"Weiss ME, Nyhan D, Peng Z, Horrow JC, Lowenstein E, Hirshman C, Adkinson NF",Association of Protamine IgE and IgG Antibodies with Life-Threatening Reactions to Intravenous Protamine,New England Journal of Medicine,1989,320,14,886-892,10.1056/nejm198904063201402,,https://doi.org/10.1056/nejm198904063201402,Protamine antibodies and life-threatening reactions after protamine-insulin exposure,Metadata retrieved from Crossref DOI record,"Weiss ME, Nyhan D, Peng Z, Horrow JC, Lowenstein E, Hirshman C, et al. Association of Protamine IgE and IgG Antibodies with Life-Threatening Reactions to Intravenous Protamine. New England Journal of Medicine. 1989;320(14):886-892. doi:10.1056/nejm198904063201402."
8,suksompong2023,"Suksompong S, Wongsripuemtet P, Srinoulprasert Y, Khamtuikrua C, Chaikittisilpa N",H1 and H2 antihistamines pretreatment for attenuation of protamine reactions after cardiopulmonary bypass: a randomized-controlled study,Annals of Palliative Medicine,2023,12,1,47-59,10.21037/apm-22-714,,https://doi.org/10.21037/apm-22-714,Randomised antihistamine pretreatment trial and serial haemodynamic measurement,Metadata retrieved from Crossref DOI record,"Suksompong S, Wongsripuemtet P, Srinoulprasert Y, Khamtuikrua C, Chaikittisilpa N. H1 and H2 antihistamines pretreatment for attenuation of protamine reactions after cardiopulmonary bypass: a randomized-controlled study. Annals of Palliative Medicine. 2023;12(1):47-59. doi:10.21037/apm-22-714."
9,hobbhahn1988,"Hobbhahn J, Conzen PF, Zenker B, Goetz AE, Peter K, Brendel W",Beneficial Effect of Cyclooxygenase Inhibition on Adverse Hemodynamic Responses after Protamine,Anesth Analg,1988,67,3,253-260,10.1213/00000539-198803000-00008,,https://doi.org/10.1213/00000539-198803000-00008,Preclinical cyclooxygenase inhibition attenuated protamine haemodynamic responses,Metadata retrieved from Crossref DOI record,"Hobbhahn J, Conzen PF, Zenker B, Goetz AE, Peter K, Brendel W. Beneficial Effect of Cyclooxygenase Inhibition on Adverse Hemodynamic Responses after Protamine. Anesth Analg. 1988;67(3):253-260. doi:10.1213/00000539-198803000-00008."
10,wang2021,"Wang B, Wu L, Chen J, Dong L, Chen C, Wen Z, Hu J, Fleming I, Wang DW",Metabolism pathways of arachidonic acids: mechanisms and potential therapeutic targets,Signal Transduction and Targeted Therapy,2021,6,1,94,10.1038/s41392-020-00443-w,,https://doi.org/10.1038/s41392-020-00443-w,Arachidonic-acid and cyclooxygenase pathway biology,Metadata retrieved from Crossref DOI record,"Wang B, Wu L, Chen J, Dong L, Chen C, Wen Z, et al. Metabolism pathways of arachidonic acids: mechanisms and potential therapeutic targets. Signal Transduction and Targeted Therapy. 2021;6(1):94. doi:10.1038/s41392-020-00443-w."
11,ropion_label,Kaken Pharmaceutical Co Ltd,Ropion intravenous 50 mg: Japanese package insert,,2024,,,,,,https://pins.japic.or.jp/pdf/newPINS/00054017.pdf,"Japanese indication, 50-mg dose, composition, contraindications, and safety warnings",Official Japanese electronic package insert saved locally,Kaken Pharmaceutical Co Ltd. Ropion intravenous 50 mg: Japanese package insert. 2024. Available from: https://pins.japic.or.jp/pdf/newPINS/00054017.pdf.
12,yamashita2006,"Yamashita K, Fukusaki M, Ando Y, Fujinaga A, Tanabe T, Terao Y, Sumikawa K",Preoperative administration of intravenous flurbiprofen axetil reduces postoperative pain for spinal fusion surgery,Journal of Anesthesia,2006,20,2,92-95,10.1007/s00540-006-0389-6,,https://doi.org/10.1007/s00540-006-0389-6,Clinical perioperative use of intravenous flurbiprofen axetil,Metadata retrieved from Crossref DOI record,"Yamashita K, Fukusaki M, Ando Y, Fujinaga A, Tanabe T, Terao Y, et al. Preoperative administration of intravenous flurbiprofen axetil reduces postoperative pain for spinal fusion surgery. Journal of Anesthesia. 2006;20(2):92-95. doi:10.1007/s00540-006-0389-6."
13,liu2024,"Liu Y, Li B, Hang L, Zhang L",Association between perioperative flurbiprofen administration and acute kidney injury (AKI) in spine surgery: a retrospective cohort study,Perioperative Medicine,2024,13,1,59,10.1186/s13741-024-00419-2,,https://doi.org/10.1186/s13741-024-00419-2,Observational perioperative flurbiprofen and acute kidney injury evidence,Metadata retrieved from Crossref DOI record,"Liu Y, Li B, Hang L, Zhang L. Association between perioperative flurbiprofen administration and acute kidney injury (AKI) in spine surgery: a retrospective cohort study. Perioperative Medicine. 2024;13(1):59. doi:10.1186/s13741-024-00419-2."
