source_type,identifier,url,retrieved_utc,retrieval_conditions,local_path,bytes,sha256,usage_conditions
public,Live page captured 2026-09-25,https://journals.lww.com/aoca/pages/informationforauthors.aspx,2026-09-25T02:26:45+00:00,Captured through browser because direct request was blocked by Cloudflare,source/public/aca_information_for_authors_20260925.html,218,9627f4dfde681a043fe7b62b384ca337081fe37a5217b68129dd85c1af70be4d,Public journal instructions; retain snapshot for audit
public,October 2024 interview form,https://medical-pro.kaken.co.jp/product/ropion/documents/ropion_if_202410.pdf,2026-09-25T02:27:46+00:00,Medical-professional acknowledgement completed in browser; then downloaded,source/public/ropion_if_202410.pdf,1191512,7960ac29b8575427560627f0fdba99764f31d3127e459e4becd5b1d7124f1cdf,Public manufacturer professional information; citation/quotation only
public,Retrieved live version 2026-09-25,https://pins.japic.or.jp/pdf/newPINS/00054017.pdf,2026-09-25T02:28:00+00:00,Direct HTTPS download,source/public/ropion_japan_package_insert.pdf,393863,5170be37e9b274e8b94dc2f750f7d4819ef6d7c79d5033fdb7c9da3db800b44b,Public official package insert; citation/quotation only
public,Retrieved live version 2026-09-25,https://pins.japic.or.jp/pdf/newPINS/00063579.pdf,2026-09-25T02:26:15+00:00,Direct HTTPS download,source/public/protamine_japan_package_insert.pdf,236945,a5a392dd24c8d4f17b783f3b786f2b870d1878c156b77864422f4ada27c41761,Public official package insert; citation/quotation only
public,PMC full-text snapshot,https://pmc.ncbi.nlm.nih.gov/articles/PMC5850589/,2026-09-25T02:26:22+00:00,Direct HTTPS download,source/public/sts_sca_amsect_anticoagulation_guideline.html,290030,6b1c6f6be3f76a0fb8416d747b9882f1d8c246e58103078d34c1f04911270441,Open-access article under source-stated terms
public,SPIRIT 2025 expanded checklist,https://www.consort-spirit.org/_files/ugd/b5740e_ffb985d849cc41afbe66d58babc8653f.pdf,2026-09-25T02:28:01+00:00,Direct HTTPS download,source/public/spirit_2025_expanded_checklist.pdf,210259,f5e8e1eec078d6c9d5d5598b1372fa22b65454bd9f5e8f177e6f7dc3bab86fc6,Reporting-guideline checklist; retain for completion audit
public,Live article page captured 2026-09-25,https://www.bmj.com/content/389/bmj-2024-081477,2026-09-25T02:26:58+00:00,Captured through browser because direct request was blocked,source/public/spirit_2025_statement_20260925.html,669492,b2b15783f704f2e3017f90a40cdbbad58aca3ea16fb56634c83b256c0b48fec2,Public article page; citation/quotation under publisher terms
public,Live article page captured 2026-09-25,https://www.bmj.com/content/389/bmj-2024-081123,2026-09-25T02:27:05+00:00,Captured through browser because direct request was blocked,source/public/consort_2025_statement_20260925.html,794240,927c152c64baea2ea7bbd739d489d49ea5604d6aea77cb7b757512c3fc8c909a,Public article page; citation/quotation under publisher terms
public,Live DailyMed label snapshot,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8df0a819-9e1a-44ce-97a6-3ea82c867d44,2026-09-25T02:26:23+00:00,Direct HTTPS download,source/public/dailymed_protamine.html,142386,7790c416c6639b4335d51d7424849fb2d534fb2ebd165376f2077dd7c8ba94ad,US government drug-label information
public,Publisher full-text snapshot,https://apm.amegroups.org/article/view/106570/html,2026-09-25T02:28:04+00:00,Direct HTTPS download,source/public/suksompong_2022_antihistamine_trial.html,130491,b3dfdc005b606f3a404e7c00830062dbbf05e90384bb2ca73df85220a0ee97dc,Open-access article under source-stated terms
public,Browser capture attempted for Kimmel adverse-event article,https://pubmed.ncbi.nlm.nih.gov/,2026-09-25T02:28:02+00:00,Browser capture resolved to a PubMed landing page rather than article full text,source/public/kimmel_1998_protamine_adverse_events.html,5686,d6f271275688fcb3c8ef80aab433834892ed96cc085ab0640278e61716c70cf8,Retained as an incomplete acquisition attempt; not used as the metadata source
